Order,ECG1,ECG2
0,0.26,-0.99
1,0.34,-0.97
2,0.36,-0.93
3,0.39,-0.9
4,0.435,-0.895
5,0.46,-0.875
6,0.49,-0.875
7,0.515,-0.895
8,0.55,-0.885
9,0.61,-0.865
10,0.59,-0.84
11,0.59,-0.805
12,0.63,-0.75
13,0.63,-0.75
14,0.625,-0.765
15,0.65,-0.74
16,0.7,-0.735
17,0.75,-0.73
18,0.76,-0.7
19,0.8,-0.71
20,0.835,-0.69
21,0.87,-0.695
22,0.9,-0.72
23,0.92,-0.72
24,0.96,-0.74
25,0.985,-0.735
26,0.99,-0.715
27,1.03,-0.7
28,1.05,-0.71
29,1.07,-0.68
30,1.05,-0.72
31,1.08,-0.72
32,1.075,-0.7
33,1.065,-0.67
34,1.04,-0.655
35,1.045,-0.62
36,1.02,-0.55
37,0.96,-0.52
38,0.935,-0.49
39,0.89,-0.485
40,0.855,-0.44
41,0.81,-0.395
42,0.76,-0.38
43,0.705,-0.375
44,0.675,-0.37
45,0.6,-0.36
46,0.56,-0.37
47,0.5,-0.415
48,0.43,-0.435
49,0.375,-0.44
50,0.335,-0.435
51,0.25,-0.47
52,0.225,-0.475
53,0.2,-0.46
54,0.175,-0.485
55,0.155,-0.505
56,0.12,-0.525
57,0.12,-0.49
58,0.09,-0.535
59,0.11,-0.58
60,0.13,-0.575
61,0.1,-0.595
62,0.09,-0.62
63,0.09,-0.615
64,0.08,-0.61
65,0.075,-0.605
66,0.05,-0.625
67,0.05,-0.64
68,0.095,-0.61
69,0.085,-0.615
70,0.06,-0.64
71,0.09,-0.64
72,0.1,-0.64
73,0.12,-0.63
74,0.13,-0.635
75,0.14,-0.64
76,0.13,-0.62
77,0.16,-0.62
78,0.135,-0.62
79,0.145,-0.62
80,0.15,-0.66
81,0.18,-0.64
82,0.14,-0.6
83,0.145,-0.57
84,0.09,-0.575
85,0.1,-0.58
86,0.095,-0.6
87,0.115,-0.58
88,0.085,-0.58
89,0.075,-0.55
90,0.045,-0.55
91,0.045,-0.52
92,0.07,-0.525
93,0.065,-0.54
94,0.05,-0.53
95,0.045,-0.505
96,0.035,-0.495
97,0.02,-0.52
98,0.065,-0.52
99,0.04,-0.525
100,0.075,-0.565
101,0.065,-0.57
102,0.065,-0.555
103,0.065,-0.575
104,0.055,-0.58
105,0.055,-0.58
106,0.08,-0.555
107,0.07,-0.575
108,0.07,-0.58
109,0.06,-0.61
110,0.075,-0.62
111,0.05,-0.59
112,0.08,-0.595
113,0.04,-0.59
114,0.06,-0.6
115,0.065,-0.58
116,0.075,-0.545
117,0.095,-0.535
118,0.08,-0.55
119,0.09,-0.48
120,0.11,-0.29
121,0.11,-0.05
122,0.17,0.285
123,0.245,0.6
124,0.195,0.815
125,-0.055,1.065
126,-0.55,1.32
127,-1.31,1.54
128,-1.945,1.64
129,-2.38,1.635
130,-2.64,1.565
131,-2.635,1.53
132,-2.53,1.43
133,-2.37,1.31
134,-2.215,1.115
135,-2.09,0.89
136,-1.915,0.725
137,-1.73,0.55
138,-1.59,0.36
139,-1.455,0.16
140,-1.3,-0.15
141,-1.145,-0.585
142,-1.05,-0.97
143,-0.975,-1.17
144,-0.84,-1.205
145,-0.7,-1.14
146,-0.575,-1.03
147,-0.48,-0.945
148,-0.315,-0.915
149,-0.11,-0.895
150,0.06,-0.895
151,0.24,-0.845
152,0.36,-0.86
153,0.43,-0.84
154,0.475,-0.81
155,0.51,-0.785
156,0.565,-0.75
157,0.58,-0.75
158,0.615,-0.755
159,0.65,-0.785
160,0.69,-0.755
161,0.69,-0.725
162,0.68,-0.685
163,0.685,-0.68
164,0.71,-0.69
165,0.73,-0.685
166,0.795,-0.685
167,0.78,-0.68
168,0.775,-0.66
169,0.76,-0.62
170,0.78,-0.575
171,0.835,-0.57
172,0.87,-0.59
173,0.93,-0.56
174,0.965,-0.54
175,0.99,-0.52
176,1.05,-0.5
177,1.055,-0.495
178,1.11,-0.53
179,1.15,-0.535
180,1.195,-0.535
181,1.22,-0.535
182,1.24,-0.505
183,1.26,-0.505
184,1.245,-0.525
185,1.265,-0.495
186,1.255,-0.445
187,1.215,-0.44
188,1.17,-0.425
189,1.145,-0.415
190,1.125,-0.375
191,1.06,-0.355
192,1.01,-0.345
193,0.95,-0.29
194,0.915,-0.305
195,0.845,-0.315
196,0.77,-0.34
197,0.715,-0.305
198,0.62,-0.335
199,0.56,-0.37
200,0.49,-0.375
201,0.45,-0.375
202,0.395,-0.395
203,0.34,-0.4
204,0.315,-0.425
205,0.25,-0.435
206,0.265,-0.47
207,0.225,-0.465
208,0.18,-0.46
209,0.15,-0.465
210,0.11,-0.45
211,0.1,-0.46
212,0.07,-0.495
213,0.085,-0.5
214,0.09,-0.48
215,0.1,-0.455
216,0.11,-0.47
217,0.135,-0.52
218,0.135,-0.51
219,0.14,-0.49
220,0.165,-0.535
221,0.15,-0.52
222,0.185,-0.5
223,0.2,-0.525
224,0.16,-0.52
225,0.18,-0.54
