0rder,ECG1,ECG2
0,0.185,-0.51
1,0.315,-0.495
2,0.405,-0.51
3,0.465,-0.48
4,0.515,-0.495
5,0.54,-0.48
6,0.57,-0.48
7,0.58,-0.45
8,0.605,-0.46
9,0.61,-0.445
10,0.62,-0.425
11,0.66,-0.43
12,0.64,-0.415
13,0.66,-0.405
14,0.68,-0.405
15,0.7,-0.385
16,0.725,-0.39
17,0.715,-0.375
18,0.745,-0.375
19,0.79,-0.39
20,0.8,-0.36
21,0.81,-0.37
22,0.815,-0.355
23,0.85,-0.385
24,0.85,-0.4
25,0.885,-0.39
26,0.92,-0.42
27,0.96,-0.42
28,0.98,-0.435
29,1.02,-0.435
30,1.045,-0.45
31,1.06,-0.475
32,1.1,-0.495
33,1.15,-0.485
34,1.155,-0.51
35,1.17,-0.535
36,1.205,-0.545
37,1.225,-0.535
38,1.21,-0.525
39,1.205,-0.53
40,1.21,-0.515
41,1.195,-0.48
42,1.17,-0.465
43,1.135,-0.44
44,1.095,-0.39
45,1.075,-0.355
46,1.03,-0.325
47,0.97,-0.295
48,0.925,-0.265
49,0.865,-0.24
50,0.81,-0.215
51,0.765,-0.195
52,0.72,-0.18
53,0.655,-0.18
54,0.585,-0.16
55,0.525,-0.18
56,0.47,-0.19
57,0.435,-0.19
58,0.38,-0.22
59,0.355,-0.245
60,0.285,-0.24
61,0.245,-0.23
62,0.225,-0.235
63,0.21,-0.255
64,0.185,-0.275
65,0.17,-0.26
66,0.155,-0.27
67,0.125,-0.265
68,0.12,-0.285
69,0.135,-0.29
70,0.125,-0.295
71,0.105,-0.3
72,0.135,-0.305
73,0.1,-0.3
74,0.115,-0.295
75,0.115,-0.315
76,0.095,-0.33
77,0.105,-0.32
78,0.085,-0.305
79,0.08,-0.335
80,0.095,-0.33
81,0.09,-0.34
82,0.1,-0.345
83,0.115,-0.36
84,0.095,-0.355
85,0.11,-0.36
86,0.115,-0.34
87,0.13,-0.37
88,0.13,-0.36
89,0.11,-0.38
90,0.15,-0.385
91,0.135,-0.375
92,0.155,-0.385
93,0.15,-0.39
94,0.135,-0.395
95,0.165,-0.395
96,0.125,-0.41
97,0.115,-0.425
98,0.115,-0.41
99,0.135,-0.41
100,0.14,-0.405
101,0.12,-0.4
102,0.11,-0.405
103,0.12,-0.425
104,0.115,-0.42
105,0.115,-0.4
106,0.13,-0.4
107,0.12,-0.385
108,0.13,-0.4
109,0.105,-0.385
110,0.13,-0.4
111,0.115,-0.37
112,0.105,-0.395
113,0.11,-0.385
114,0.1,-0.365
115,0.095,-0.355
116,0.095,-0.37
117,0.095,-0.36
118,0.095,-0.37
119,0.085,-0.4
120,0.08,-0.37
121,0.07,-0.36
122,0.09,-0.365
123,0.07,-0.37
124,0.085,-0.38
125,0.08,-0.365
126,0.085,-0.355
127,0.095,-0.35
128,0.075,-0.365
129,0.075,-0.365
130,0.11,-0.345
131,0.06,-0.345
132,0.07,-0.355
133,0.08,-0.36
134,0.09,-0.345
135,0.075,-0.355
136,0.07,-0.35
137,0.05,-0.345
138,0.06,-0.325
139,0.05,-0.355
140,0.05,-0.35
141,0.055,-0.355
142,0.045,-0.34
143,0.055,-0.365
144,0.06,-0.365
145,0.04,-0.36
146,0.075,-0.34
147,0.055,-0.34
148,0.055,-0.35
149,0.05,-0.35
150,0.045,-0.335
151,0.075,-0.35
152,0.045,-0.345
153,0.03,-0.33
154,0.055,-0.335
155,0.06,-0.36
156,0.05,-0.36
157,0.055,-0.35
158,0.035,-0.345
159,0.07,-0.345
160,0.03,-0.34
161,0.065,-0.29
162,0.06,-0.245
163,0.06,-0.24
164,0.07,-0.245
165,0.105,-0.215
166,0.135,-0.17
167,0.15,-0.165
168,0.175,-0.16
169,0.21,-0.135
170,0.24,-0.12
171,0.23,-0.185
172,0.22,-0.22
173,0.205,-0.235
174,0.175,-0.23
175,0.15,-0.265
176,0.1,-0.29
177,0.07,-0.3
178,0.06,-0.32
179,0.04,-0.315
180,0.005,-0.34
181,-0.015,-0.38
182,-0.005,-0.42
183,0,-0.4
184,0.04,-0.41
185,0.02,-0.425
186,0.015,-0.4
187,0.005,-0.42
188,0,-0.415
189,0,-0.41
190,0,-0.4
191,0.02,-0.405
192,-0.035,-0.415
193,-0.005,-0.415
194,0,-0.405
195,0,-0.4
196,0.01,-0.39
197,0.01,-0.425
198,0.005,-0.425
199,0,-0.4
200,-0.005,-0.4
201,0,-0.395
202,0.03,-0.4
203,0.005,-0.41
204,0.015,-0.35
205,0.005,-0.335
206,0.01,-0.2
207,0.02,-0.03
208,0.06,0.215
209,0.155,0.595
210,0.19,0.975
211,0.015,1.235
212,-0.305,1.395
213,-0.785,1.525
214,-1.465,1.71
215,-2.155,1.905
216,-2.62,1.91
217,-2.84,1.795
218,-2.845,1.635
219,-2.715,1.42
220,-2.535,1.21
221,-2.375,0.99
222,-2.3,0.85
223,-2.16,0.77
224,-2.005,0.82
225,-1.885,1.04
226,-1.735,1.305
227,-1.615,1.41
228,-1.475,1.16
229,-1.3,0.63
230,-1.19,0.075
231,-1.055,-0.32
232,-0.92,-0.565
233,-0.745,-0.67
234,-0.58,-0.685
235,-0.44,-0.685
236,-0.24,-0.635
237,-0.055,-0.59
238,0.105,-0.575
239,0.235,-0.555
240,0.35,-0.54
241,0.44,-0.555
242,0.47,-0.545
243,0.495,-0.52
244,0.51,-0.54
245,0.525,-0.5
246,0.545,-0.495
247,0.555,-0.485
248,0.575,-0.48
249,0.58,-0.485
250,0.585,-0.47
251,0.59,-0.44
252,0.59,-0.42
253,0.605,-0.405
254,0.605,-0.395
255,0.635,-0.4
256,0.645,-0.39
257,0.645,-0.39
258,0.645,-0.385
259,0.68,-0.365
260,0.7,-0.405
261,0.705,-0.405
262,0.745,-0.4
263,0.755,-0.425
264,0.79,-0.395
265,0.82,-0.425
266,0.81,-0.44
267,0.865,-0.465
268,0.875,-0.48
269,0.895,-0.5
270,0.94,-0.5
271,0.98,-0.525
272,1,-0.525
273,1,-0.53
274,1,-0.54
275,1.03,-0.55
276,1.055,-0.53
277,1.065,-0.525
278,1.075,-0.535
279,1.075,-0.5
280,1.04,-0.49
281,1.025,-0.465
282,1.02,-0.435
283,0.995,-0.385
284,0.935,-0.34
285,0.94,-0.33
286,0.875,-0.315
287,0.85,-0.265
288,0.79,-0.25
289,0.735,-0.225
290,0.68,-0.215
291,0.625,-0.215
292,0.59,-0.195
293,0.545,-0.2
294,0.475,-0.225
295,0.445,-0.24
296,0.41,-0.25
297,0.35,-0.25
298,0.315,-0.24
299,0.275,-0.28
300,0.245,-0.28
301,0.19,-0.27
302,0.205,-0.28
303,0.185,-0.3
304,0.17,-0.305
305,0.15,-0.29
306,0.14,-0.315
307,0.135,-0.315
308,0.125,-0.31
309,0.105,-0.305
310,0.11,-0.315
311,0.11,-0.35
312,0.105,-0.35
313,0.1,-0.34
314,0.115,-0.365
315,0.095,-0.385
316,0.12,-0.375
317,0.115,-0.39
318,0.115,-0.37
319,0.12,-0.385
320,0.13,-0.37
321,0.11,-0.385
322,0.105,-0.4
323,0.105,-0.395
324,0.11,-0.415
325,0.125,-0.42
326,0.135,-0.41
327,0.125,-0.41
328,0.15,-0.42
329,0.115,-0.43
330,0.105,-0.41
331,0.11,-0.425
332,0.12,-0.44
333,0.12,-0.42
334,0.1,-0.445
335,0.105,-0.445
336,0.1,-0.445
337,0.115,-0.43
338,0.11,-0.415
339,0.105,-0.4
340,0.105,-0.435
341,0.105,-0.405
342,0.095,-0.41
343,0.085,-0.41
344,0.085,-0.405
345,0.095,-0.425
346,0.065,-0.425
347,0.075,-0.415
348,0.095,-0.425
349,0.07,-0.4
350,0.05,-0.405
351,0.06,-0.425
352,0.06,-0.385
353,0.045,-0.425
354,0.045,-0.415
355,0.045,-0.4
356,0.05,-0.39
357,0.05,-0.41
358,0.06,-0.4
359,0.055,-0.395
360,0.035,-0.41
361,0.06,-0.4
362,0.055,-0.38
363,0.055,-0.375
364,0.055,-0.4
365,0.05,-0.4
366,0.035,-0.39
367,0.04,-0.385
368,0.05,-0.41
369,0.06,-0.395
370,0.065,-0.37
371,0.03,-0.37
372,0.035,-0.375
373,0.06,-0.395
374,0.05,-0.38
375,0.045,-0.37
376,0.06,-0.36
377,0.06,-0.4
378,0.05,-0.385
379,0.06,-0.37
380,0.045,-0.39
381,0.055,-0.385
382,0.055,-0.37
383,0.05,-0.375
384,0.03,-0.38
385,0.04,-0.37
386,0.055,-0.365
387,0.035,-0.375
388,0.055,-0.365
389,0.05,-0.34
390,0.03,-0.3
391,0.04,-0.255
392,0.055,-0.28
393,0.085,-0.25
394,0.105,-0.21
395,0.14,-0.175
396,0.165,-0.19
397,0.19,-0.18
398,0.195,-0.185
399,0.19,-0.195
400,0.19,-0.235
401,0.19,-0.29
402,0.145,-0.265
403,0.12,-0.26
404,0.1,-0.31
405,0.085,-0.335
406,0.075,-0.34
407,0.045,-0.355
408,0.02,-0.36
409,0,-0.395
410,-0.01,-0.45
411,0.02,-0.42
412,0.005,-0.43
413,-0.005,-0.425
414,0.01,-0.43
415,-0.015,-0.445
416,0,-0.435
417,0.01,-0.45
418,0,-0.445
419,0,-0.46
420,-0.01,-0.44
421,-0.01,-0.455
422,-0.025,-0.455
423,0.01,-0.42
424,0.015,-0.42
425,-0.005,-0.44
426,0,-0.465
427,0,-0.43
428,0.025,-0.43
429,0.01,-0.445
430,-0.005,-0.45
431,0,-0.425
432,0,-0.395
433,0.01,-0.375
434,0.015,-0.3
435,0,-0.15
436,0.04,0.055
437,0.105,0.37
438,0.205,0.785
439,0.135,1.13
440,-0.13,1.33
441,-0.55,1.52
442,-1.245,1.72
443,-1.945,1.9
444,-2.495,1.92
445,-2.74,1.835
446,-2.79,1.695
447,-2.67,1.535
448,-2.515,1.335
449,-2.335,1.17
450,-2.205,1.035
451,-2.12,0.885
452,-1.92,0.905
453,-1.8,1.045
454,-1.685,1.32
455,-1.565,1.575
456,-1.46,1.515
457,-1.315,1.1
458,-1.195,0.49
459,-1.08,-0.05
460,-0.94,-0.415
461,-0.815,-0.59
462,-0.66,-0.64
463,-0.475,-0.68
464,-0.29,-0.675
465,-0.1,-0.655
466,0.055,-0.62
467,0.185,-0.61
468,0.32,-0.595
469,0.41,-0.6
470,0.455,-0.595
471,0.5,-0.595
472,0.53,-0.55
