0rder,ECG1,ECG2
0,-0.215,-0.31
1,-0.215,-0.31
2,-0.225,-0.315
3,-0.21,-0.315
4,-0.215,-0.29
5,-0.21,-0.305
6,-0.245,-0.3
7,-0.215,-0.3
8,-0.22,-0.29
9,-0.235,-0.295
10,-0.265,-0.3
11,-0.255,-0.3
12,-0.245,-0.285
13,-0.26,-0.275
14,-0.245,-0.285
15,-0.235,-0.265
16,-0.245,-0.285
17,-0.26,-0.295
18,-0.26,-0.3
19,-0.265,-0.265
20,-0.275,-0.27
21,-0.265,-0.28
22,-0.27,-0.265
23,-0.29,-0.265
24,-0.295,-0.265
25,-0.28,-0.24
26,-0.285,-0.28
27,-0.3,-0.26
28,-0.28,-0.24
29,-0.295,-0.245
30,-0.29,-0.245
31,-0.29,-0.255
32,-0.28,-0.205
33,-0.29,-0.245
34,-0.32,-0.25
35,-0.315,-0.265
36,-0.305,-0.26
37,-0.285,-0.25
38,-0.31,-0.27
39,-0.32,-0.245
40,-0.305,-0.23
41,-0.285,-0.22
42,-0.295,-0.21
43,-0.285,-0.225
44,-0.305,-0.235
45,-0.305,-0.205
46,-0.32,-0.16
47,-0.315,-0.145
48,-0.29,-0.13
49,-0.275,-0.095
50,-0.23,-0.08
51,-0.195,-0.06
52,-0.165,-0.04
53,-0.14,-0.015
54,-0.12,-0.025
55,-0.115,-0.045
56,-0.105,-0.08
57,-0.125,-0.085
58,-0.135,-0.09
59,-0.185,-0.125
60,-0.21,-0.165
61,-0.24,-0.175
62,-0.235,-0.185
63,-0.305,-0.205
64,-0.31,-0.21
65,-0.33,-0.23
66,-0.335,-0.265
67,-0.355,-0.285
68,-0.335,-0.295
69,-0.355,-0.29
70,-0.34,-0.28
71,-0.355,-0.28
72,-0.35,-0.3
73,-0.34,-0.305
74,-0.335,-0.29
75,-0.365,-0.29
76,-0.345,-0.295
77,-0.35,-0.27
78,-0.355,-0.28
79,-0.335,-0.265
80,-0.365,-0.29
81,-0.35,-0.28
82,-0.345,-0.26
83,-0.33,-0.295
84,-0.335,-0.295
85,-0.335,-0.26
86,-0.325,-0.255
87,-0.33,-0.255
88,-0.315,-0.255
89,-0.32,-0.245
90,-0.33,-0.22
91,-0.305,-0.135
92,-0.325,-0.015
93,-0.305,0.185
94,-0.235,0.475
95,-0.16,0.825
96,-0.155,1.115
97,-0.435,1.35
98,-0.8,1.58
99,-1.405,1.815
100,-2.135,2.085
101,-2.725,2.27
102,-3.085,2.27
103,-3.21,2.21
104,-3.155,2.135
105,-3.025,1.97
106,-2.82,1.795
107,-2.655,1.675
108,-2.575,1.56
109,-2.43,1.485
110,-2.255,1.555
111,-2.13,1.77
112,-2.035,2.01
113,-1.91,2.1
114,-1.77,1.89
115,-1.64,1.355
116,-1.515,0.725
117,-1.39,0.205
118,-1.24,-0.15
119,-1.09,-0.34
120,-0.915,-0.44
121,-0.735,-0.505
122,-0.555,-0.52
123,-0.385,-0.495
124,-0.22,-0.445
125,-0.075,-0.47
126,0.015,-0.485
127,0.105,-0.495
128,0.14,-0.48
129,0.175,-0.455
130,0.205,-0.475
131,0.23,-0.485
132,0.23,-0.45
133,0.25,-0.44
134,0.26,-0.44
135,0.27,-0.43
136,0.28,-0.43
137,0.265,-0.425
138,0.28,-0.425
139,0.28,-0.425
140,0.315,-0.42
141,0.33,-0.405
142,0.325,-0.42
143,0.335,-0.415
144,0.36,-0.4
145,0.375,-0.39
146,0.39,-0.42
147,0.41,-0.43
148,0.425,-0.425
149,0.46,-0.44
150,0.48,-0.45
151,0.475,-0.48
152,0.52,-0.5
153,0.565,-0.49
154,0.57,-0.5
155,0.6,-0.53
156,0.62,-0.53
157,0.625,-0.545
158,0.67,-0.55
159,0.7,-0.58
160,0.705,-0.58
161,0.72,-0.58
162,0.75,-0.59
163,0.745,-0.565
164,0.74,-0.585
165,0.735,-0.545
166,0.76,-0.5
167,0.73,-0.475
168,0.715,-0.45
169,0.675,-0.415
170,0.625,-0.35
171,0.58,-0.31
172,0.535,-0.28
173,0.485,-0.215
174,0.455,-0.195
175,0.4,-0.175
176,0.33,-0.185
177,0.28,-0.14
178,0.245,-0.12
179,0.18,-0.135
180,0.135,-0.155
181,0.075,-0.14
182,0.035,-0.14
183,-0.005,-0.14
184,-0.03,-0.14
185,-0.065,-0.18
186,-0.095,-0.175
187,-0.095,-0.175
188,-0.12,-0.18
189,-0.14,-0.185
190,-0.155,-0.175
191,-0.165,-0.19
192,-0.175,-0.21
193,-0.185,-0.22
194,-0.155,-0.195
195,-0.185,-0.195
196,-0.17,-0.22
197,-0.18,-0.21
198,-0.19,-0.21
199,-0.185,-0.21
200,-0.155,-0.23
201,-0.17,-0.23
202,-0.175,-0.235
203,-0.175,-0.245
204,-0.16,-0.245
205,-0.16,-0.25
206,-0.155,-0.26
207,-0.15,-0.24
208,-0.14,-0.265
209,-0.13,-0.28
210,-0.155,-0.27
211,-0.13,-0.29
212,-0.115,-0.275
213,-0.12,-0.26
214,-0.125,-0.275
215,-0.125,-0.265
216,-0.145,-0.265
217,-0.15,-0.275
218,-0.14,-0.3
219,-0.135,-0.29
220,-0.15,-0.275
221,-0.14,-0.295
222,-0.145,-0.3
223,-0.135,-0.295
224,-0.125,-0.26
225,-0.145,-0.28
226,-0.155,-0.29
227,-0.17,-0.28
228,-0.165,-0.28
229,-0.18,-0.275
230,-0.16,-0.28
231,-0.175,-0.27
232,-0.17,-0.26
233,-0.155,-0.255
234,-0.17,-0.285
235,-0.185,-0.275
236,-0.185,-0.26
237,-0.17,-0.255
238,-0.19,-0.26
239,-0.19,-0.275
240,-0.185,-0.255
241,-0.19,-0.235
242,-0.21,-0.255
243,-0.215,-0.275
244,-0.22,-0.245
245,-0.195,-0.235
246,-0.22,-0.255
247,-0.19,-0.245
248,-0.21,-0.245
249,-0.21,-0.23
250,-0.195,-0.255
251,-0.205,-0.24
252,-0.195,-0.235
253,-0.215,-0.24
254,-0.21,-0.24
255,-0.21,-0.245
256,-0.19,-0.25
257,-0.205,-0.22
258,-0.2,-0.23
259,-0.2,-0.23
260,-0.22,-0.24
261,-0.225,-0.235
262,-0.205,-0.22
263,-0.185,-0.23
264,-0.2,-0.22
265,-0.225,-0.17
266,-0.2,-0.135
267,-0.175,-0.13
268,-0.145,-0.12
269,-0.13,-0.085
270,-0.09,-0.055
271,-0.075,-0.04
272,-0.045,-0.02
273,-0.03,-0.01
274,0,-0.02
275,0,-0.04
276,0,-0.075
277,-0.025,-0.09
278,-0.065,-0.09
279,-0.115,-0.105
280,-0.125,-0.155
281,-0.15,-0.15
282,-0.145,-0.16
283,-0.185,-0.2
284,-0.25,-0.24
285,-0.21,-0.27
286,-0.215,-0.28
287,-0.2,-0.27
288,-0.195,-0.28
289,-0.195,-0.28
290,-0.195,-0.28
291,-0.21,-0.285
292,-0.205,-0.3
293,-0.205,-0.295
294,-0.21,-0.285
295,-0.2,-0.285
296,-0.205,-0.285
297,-0.2,-0.28
298,-0.21,-0.295
299,-0.185,-0.295
300,-0.215,-0.29
301,-0.205,-0.29
302,-0.205,-0.27
303,-0.19,-0.29
304,-0.22,-0.305
305,-0.215,-0.29
306,-0.21,-0.275
307,-0.21,-0.265
308,-0.19,-0.26
309,-0.205,-0.265
310,-0.205,-0.18
311,-0.21,-0.035
312,-0.205,0.13
313,-0.14,0.385
314,-0.06,0.72
315,-0.05,0.975
316,-0.31,1.17
317,-0.735,1.355
318,-1.385,1.63
319,-2.13,1.89
320,-2.74,1.99
321,-3.095,1.97
322,-3.145,1.945
323,-3.05,1.9
324,-2.89,1.745
325,-2.68,1.605
326,-2.545,1.475
327,-2.425,1.365
328,-2.22,1.33
329,-2.04,1.44
330,-1.925,1.64
331,-1.84,1.87
332,-1.72,1.775
333,-1.58,1.345
334,-1.42,0.675
335,-1.34,0.1
336,-1.2,-0.255
337,-1.065,-0.445
