'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
2277500,-0.775,0.380
2277501,-0.760,0.470
2277502,-0.775,0.495
2277503,-0.775,0.485
2277504,-0.790,0.475
2277505,-0.825,0.465
2277506,-0.810,0.495
2277507,-0.780,0.505
2277508,-0.785,0.510
2277509,-0.785,0.520
2277510,-0.790,0.495
2277511,-0.800,0.475
2277512,-0.795,0.440
2277513,-0.780,0.475
2277514,-0.785,0.430
2277515,-0.840,0.410
2277516,-0.830,0.460
2277517,-0.830,0.510
2277518,-0.840,0.550
2277519,-0.825,0.545
2277520,-0.815,0.530
2277521,-0.790,0.535
2277522,-0.785,0.550
2277523,-0.770,0.555
2277524,-0.760,0.545
2277525,-0.725,0.520
2277526,-0.725,0.525
2277527,-0.725,0.520
2277528,-0.750,0.535
2277529,-0.715,0.535
2277530,-0.750,0.485
2277531,-0.790,0.540
2277532,-0.830,0.565
2277533,-0.835,0.590
2277534,-0.835,0.555
2277535,-0.855,0.520
2277536,-0.900,0.535
2277537,-0.875,0.520
2277538,-0.880,0.515
2277539,-0.910,0.540
2277540,-0.950,0.535
2277541,-0.960,0.525
2277542,-0.945,0.530
2277543,-0.950,0.520
2277544,-0.955,0.515
2277545,-0.955,0.540
2277546,-0.945,0.580
2277547,-0.935,0.520
2277548,-0.920,0.535
2277549,-0.905,0.660
2277550,-0.915,0.780
2277551,-0.945,0.930
2277552,-0.885,1.150
2277553,-0.765,1.460
2277554,-0.695,1.585
2277555,-0.835,1.620
2277556,-1.095,1.600
2277557,-1.645,1.595
2277558,-2.240,1.630
2277559,-2.715,1.640
2277560,-3.065,1.585
2277561,-3.285,1.610
2277562,-3.290,1.660
2277563,-3.240,1.570
2277564,-3.115,1.465
2277565,-3.055,1.375
2277566,-2.980,1.260
2277567,-2.845,1.205
2277568,-2.685,1.200
2277569,-2.550,1.215
2277570,-2.410,1.220
2277571,-2.240,1.245
2277572,-2.085,1.190
2277573,-2.000,0.970
2277574,-1.915,0.765
2277575,-1.800,0.710
2277576,-1.660,0.780
2277577,-1.520,0.835
2277578,-1.370,0.935
2277579,-1.225,0.965
2277580,-1.030,0.960
2277581,-0.905,0.990
2277582,-0.800,1.020
2277583,-0.720,1.040
2277584,-0.645,1.015
2277585,-0.630,0.985
2277586,-0.590,1.005
2277587,-0.540,1.010
2277588,-0.575,0.970
2277589,-0.595,0.960
2277590,-0.620,0.995
2277591,-0.625,1.025
2277592,-0.655,1.055
2277593,-0.620,1.050
2277594,-0.580,1.080
2277595,-0.580,1.110
2277596,-0.560,1.090
2277597,-0.545,1.120
2277598,-0.550,1.165
2277599,-0.520,1.160
2277600,-0.480,1.185
2277601,-0.460,1.210
2277602,-0.435,1.240
2277603,-0.400,1.245
2277604,-0.370,1.250
2277605,-0.360,1.255
2277606,-0.340,1.250
2277607,-0.325,1.265
2277608,-0.285,1.235
2277609,-0.250,1.245
2277610,-0.210,1.260
2277611,-0.215,1.250
2277612,-0.175,1.270
2277613,-0.140,1.315
2277614,-0.115,1.320
2277615,-0.125,1.315
2277616,-0.115,1.305
2277617,-0.105,1.300
2277618,-0.065,1.290
2277619,-0.070,1.310
2277620,-0.080,1.305
2277621,-0.100,1.295
2277622,-0.110,1.280
2277623,-0.110,1.245
2277624,-0.130,1.220
2277625,-0.180,1.185
2277626,-0.280,1.175
2277627,-0.385,1.145
2277628,-0.440,1.095
2277629,-0.500,1.085
2277630,-0.590,1.050
2277631,-0.660,1.050
2277632,-0.745,1.055
2277633,-0.795,1.050
2277634,-0.805,1.020
2277635,-0.840,1.000
2277636,-0.860,1.010
2277637,-0.890,1.005
2277638,-0.900,0.980
2277639,-0.920,0.945
2277640,-0.920,0.925
2277641,-0.910,0.955
2277642,-0.935,0.950
2277643,-0.955,0.910
2277644,-0.965,0.910
2277645,-0.970,0.910
2277646,-0.975,0.910
2277647,-0.980,0.880
2277648,-0.980,0.855
2277649,-0.970,0.840
2277650,-0.950,0.825
2277651,-0.970,0.815
2277652,-0.970,0.825
2277653,-0.960,0.845
2277654,-0.950,0.850
2277655,-0.955,0.830
2277656,-0.945,0.810
2277657,-0.925,0.790
2277658,-0.935,0.770
2277659,-0.935,0.750
2277660,-0.930,0.730
2277661,-0.890,0.700
2277662,-0.925,0.695
2277663,-0.950,0.730
2277664,-0.960,0.715
2277665,-0.950,0.655
2277666,-0.950,0.615
2277667,-0.950,0.570
2277668,-0.945,0.600
2277669,-0.945,0.635
2277670,-0.980,0.630
2277671,-0.990,0.615
2277672,-0.945,0.615
2277673,-0.940,0.580
2277674,-0.975,0.495
2277675,-0.965,0.345
2277676,-1.015,0.180
2277677,-1.045,0.185
2277678,-1.065,0.170
2277679,-1.080,0.120
2277680,-1.120,0.090
2277681,-1.165,0.105
2277682,-1.160,0.120
2277683,-1.160,0.110
2277684,-1.155,0.090
2277685,-1.165,0.075
2277686,-1.175,0.070
2277687,-1.200,0.040
2277688,-1.180,-0.060
2277689,-1.185,-0.235
2277690,-1.170,-0.270
2277691,-1.205,-0.295
2277692,-1.170,-0.315
2277693,-1.145,-0.305
2277694,-1.135,-0.315
2277695,-1.175,-0.340
2277696,-1.155,-0.370
2277697,-1.135,-0.370
2277698,-1.130,-0.390
2277699,-1.115,-0.380
2277700,-1.120,-0.385
2277701,-1.110,-0.385
2277702,-1.100,-0.350
2277703,-1.115,-0.340
2277704,-1.120,-0.390
2277705,-1.120,-0.420
2277706,-1.095,-0.405
2277707,-1.100,-0.385
2277708,-1.115,-0.360
2277709,-1.080,-0.320
2277710,-1.060,-0.355
2277711,-1.065,-0.335
2277712,-1.095,-0.360
2277713,-1.095,-0.370
2277714,-1.060,-0.385
2277715,-1.055,-0.385
2277716,-1.055,-0.390
2277717,-1.060,-0.385
2277718,-1.075,-0.380
2277719,-1.060,-0.390
2277720,-1.075,-0.375
2277721,-1.080,-0.395
2277722,-1.085,-0.400
2277723,-1.045,-0.400
2277724,-1.080,-0.415
2277725,-1.075,-0.410
2277726,-1.070,-0.415
2277727,-1.060,-0.410
2277728,-1.075,-0.470
2277729,-1.105,-0.520
2277730,-1.090,-0.510
2277731,-1.070,-0.480
2277732,-1.080,-0.500
2277733,-1.090,-0.505
2277734,-1.070,-0.510
2277735,-1.070,-0.510
2277736,-1.060,-0.545
2277737,-1.075,-0.585
2277738,-1.110,-0.635
2277739,-1.140,-0.600
2277740,-1.215,-0.475
2277741,-1.215,-0.260
2277742,-1.230,-0.015
2277743,-1.160,0.235
2277744,-1.055,0.510
2277745,-1.060,0.625
2277746,-1.300,0.635
2277747,-1.735,0.595
2277748,-2.360,0.580
2277749,-2.870,0.605
2277750,-3.160,0.565
2277751,-3.420,0.465
2277752,-3.530,0.320
2277753,-3.510,0.200
2277754,-3.425,0.005
2277755,-3.310,-0.140
2277756,-3.235,-0.335
2277757,-3.145,-0.490
2277758,-2.965,-0.615
2277759,-2.845,-0.635
2277760,-2.795,-0.615
2277761,-2.665,-0.580
2277762,-2.540,-0.710
2277763,-2.430,-0.925
2277764,-2.360,-1.220
2277765,-2.265,-1.440
2277766,-2.160,-1.510
2277767,-2.010,-1.460
2277768,-1.880,-1.330
2277769,-1.735,-1.215
2277770,-1.540,-1.195
2277771,-1.360,-1.190
2277772,-1.200,-1.125
2277773,-1.030,-1.050
2277774,-0.905,-1.030
2277775,-0.855,-0.995
2277776,-0.815,-0.955
2277777,-0.775,-0.925
2277778,-0.755,-0.945
2277779,-0.710,-0.950
2277780,-0.700,-0.910
2277781,-0.665,-0.865
2277782,-0.665,-0.890
2277783,-0.650,-0.875
2277784,-0.595,-0.870
2277785,-0.605,-0.855
2277786,-0.570,-0.850
2277787,-0.545,-0.835
2277788,-0.595,-0.785
2277789,-0.625,-0.735
2277790,-0.635,-0.720
2277791,-0.605,-0.730
2277792,-0.565,-0.745
2277793,-0.580,-0.740
2277794,-0.590,-0.740
2277795,-0.595,-0.750
2277796,-0.565,-0.730
2277797,-0.570,-0.755
2277798,-0.585,-0.785
2277799,-0.540,-0.805
2277800,-0.510,-0.800
2277801,-0.500,-0.770
2277802,-0.475,-0.755
2277803,-0.465,-0.735
2277804,-0.415,-0.700
2277805,-0.385,-0.725
2277806,-0.325,-0.680
2277807,-0.290,-0.655
2277808,-0.240,-0.645
2277809,-0.220,-0.630
2277810,-0.215,-0.615
2277811,-0.185,-0.640
2277812,-0.190,-0.660
2277813,-0.195,-0.635
